태양광발전시설명,소재지도로명주소,소재지지번주소,정제WGS84위도,정제WGS84경도,설치상세위치구분명,가동상태구분명,설비용량(KW),공급전압(V),주파수(Hz),설치연도,세부용도,허가일자,허가기관,설치면적(㎥),데이터기준일자
(유)금강2호 태양광발전소,,경기도 이천시 장호원읍 와현리 3-1,,,,가동중단,499.5,380,60,2022,발전사업용,2019-01-14,이천시,,2023-06-05
(유)길강태양광발전소,,경기도 이천시 율면 고당리 산45-23,,,,가동중단,99.9,380,60,2021,발전사업용,2018-09-21,이천시,,2023-06-05
(유)다복에너지 태양광발전소,,경기도 이천시 장호원읍 와현리 47-1,,,,폐기,99.9,380,60,2020,발전사업용,2019-01-14,이천시,,2023-06-05
(유)레나다,,경기도 안성시 일죽면 가리 67-5,,,,가동중단,99.4,380,60,2018,,2018-10-10,안성시,,2023-07-06
(유)백석 태양광발전소,,"경기도 연천군 미산면 백석리 283-2, 283-3",,,,정상가동,2000,22900,60,2019,발전사업용,,경기도,,2022-12-31
(유)시원이앤씨 태양광발전소,,경기도 이천시 장호원읍 와현리 47-1,,,,폐기,99.9,380,60,2020,발전사업용,2019-01-14,이천시,,2023-06-05
(유)신흥 태양광발전소,,"경기도 안성시 일죽면 신흥리 산7-2, 산7-4, 322-2, 15, 16, 17, 18, 19",,,,정상가동,1498,22900,60,2018,발전사업용,,경기도,,2022-12-31
(유)신흥2호 태양광발전소,,"경기도 안성시 일죽면 신흥리 25,26,27",,,,가동중단,498.96,380,60,2018,,2017-11-08,안성시,,2023-07-06
(유)용월2호 태양광발전소,,경기도 이천시 장호원읍 와현리 1-1,,,,가동중단,998.4,22900,60,2021,발전사업용,2018-12-19,이천시,,2023-06-05
(유)우림 태양광발전소,,경기도 이천시 율면 고당리 13-26,,,,가동중단,99.9,380,60,2021,발전사업용,2018-09-21,이천시,,2023-06-05
(유)정명 태양광발전소,,경기도 이천시 장호원읍 와현리 47-1,,,,폐기,99.9,380,60,2020,발전사업용,2019-01-14,이천시,,2023-06-05
(유)정인태양광발전소,,경기도 이천시 율면 고당리 13-24,,,,가동중단,99.9,380,60,2021,발전사업용,2018-09-21,이천시,,2023-06-05
(유)정통 태양광발전소,,경기도 이천시 율면 신추리 931,,,,정상가동,997.92,22900,60,2019,발전사업용,2018-06-11,이천시,,2023-06-05
(유)청명에너지 태양광발전소,,경기도 이천시 장호원읍 와현리 47-1,,,,폐기,99.9,380,60,2020,발전사업용,2019-01-14,이천시,,2023-06-05
(유)태성티엔에스,,경기도 이천시 설성면 행죽리 702-2,,,,정상가동,99.83,380,60,2018,발전사업용,2017-10-31,이천시,,2023-06-05
(유)행죽태양광발전소,,"경기도 이천시 설성면 산131-1, 131-3, 639, 665-1, 665-3",,,,정상가동,1786,22900,60,2018,발전사업용,,경기도,,2022-12-31
(주)가산 태양광발전소,경기도 안양시 만안구 박달로 337-54 (박달동),경기도 안양시 만안구 박달동 613-7,,,,정상가동,150.75,380,60,2017,,2017-06-26,안양시,,2023-06-21
(주)경기이엔씨태양광발전소,경기도 오산시 외삼미로 60-25 (외삼미동),,37.1907101635,127.0610544192,옥상,정상가동,28,380,60,2021,발전사업용,2020-10-12,오산시,146,2023-05-25
(주)경남유리 태양광발전소,경기도 이천시 율면 금율로640번길 145-52,,,,,정상가동,78.1,380,60,2023,발전사업용,2022-12-22,이천시,,2023-06-05
(주)다사론 태양광발전소,"경기도 안양시 동안구 벌말로 72-13, 5층 (관양동)",경기도 안양시 동안구 관양동   922-14,,,,정상가동,19.36,380,60,2021,,2021-04-06,안양시,,2023-06-21
(주)대원 태양광발전소,,경기도 안성시 양성면 노곡리 759-1 (건물 위),,,,정상가동,109.48,380,60,2018,사업용,2018-04-17,안성시,,2023-07-06
(주)도드람바이오가스발전소,경기도 이천시 설성면 자석로76번길 43,,,,,정상가동,250,380,60,2015,발전사업용,2014-10-16,이천시,,2023-06-05
(주)로드솔라 태양광발전소,,경기도 이천시 장호원읍 와현리 58-11,,,,정상가동,997.92,22900,60,2020,발전사업용,2018-08-17,이천시,,2023-06-05
(주)미래영솔라 태양광발전소 11호,경기도 이천시 마장면 마도로 175,,,,,가동중단,499,22900,60,2019,발전사업용,2016-08-18,이천시,,2023-06-05
(주)부성 태양광발전소,,경기도 안성시 미양면 갈전리 7-4,,,,정상가동,3,220,60,2017,사업용,2017-05-11,안성시,,2023-07-06
(주)새시대 태양광발전소,경기도 이천시 호법면 안평로114번길 134,,,,,정상가동,369.6,380,60,2019,발전사업용,2018-09-28,이천시,,2023-06-05
(주)세진광 태양광발전소,,경기도 이천시 설성면 장능리 196-24,,,,정상가동,758.2,22900,60,2019,발전사업용,2018-07-12,이천시,,2023-06-05
(주)신갈에너지,,경기도 이천시 모가면 신갈리 349,,,,정상가동,492.75,380,60,2019,발전사업용,2019-01-23,이천시,,2023-06-05
(주)썬리취 태양광발전소,경기도 이천시 백사면 원적로618번길 241,,,,,정상가동,287.7,380,60,2017,발전사업용,2016-10-24,이천시,,2023-06-05
(주)씨에이치푸드,경기도 남양주시 오남읍 팔현로175번길 247-30,경기도 남양주시 오남읍 팔현리 48-3,,,,정상가동,29,380,60,2024,,2022-10-21,남양주시,,2023-06-02
(주)애니웰환경태양광발전소1호기,,,,,,정상가동,99.19,380,60,2021,발전사업용,2021-07-13,화성시,,2023-06-12
(주)애니웰환경태양광발전소2호기,,,,,,정상가동,99.65,380,60,2021,발전사업용,2021-07-13,화성시,,2023-06-12
(주)에디폴 태양광발전소,"경기도 안성시 죽산면 목동길 37 (6동,7동)",,,,,정상가동,46.08,380,60,2017,사업용,2017-05-12,안성시,,2023-07-06
(주)에디폴태양광발전소,,경기도 안성시 죽산면 당목리 641 (1동 지붕위),,,,정상가동,99.11,380,60,2014,사업용,2014-09-12,안성시,,2023-07-06
(주)에스아이판,,경기도 안성시 삼죽면 덕산리 808-13,,,,정상가동,418.08,380,60,2018,사업용,2018-10-29,안성시,,2023-07-06
(주)에스알인터내셔널 제2태양광발전소,경기도 이천시 백사면 원적로618번길 285,,,,,정상가동,499.2,380,60,2000,발전사업용,2016-07-08,이천시,,2023-06-05
(주)에스알인터내셔널 제3태양광발전소,경기도 이천시 백사면 원적로618번길 285,,,,,정상가동,997.92,22900,60,2018,발전사업용,2016-09-27,이천시,,2023-06-05
(주)우진냉장 태양광발전소,,경기도 안성시 미양면 개정리 210-2,,,,정상가동,499.32,380,60,2019,사업용,2019-05-16,안성시,,2023-07-06
(주)유진에너팜,경기도 남양주시 퇴계원읍 경춘북로 461,,,,,정상가동,190.32,380,60,2018,,2015-08-26,남양주시,,2023-06-02
(주)이마트 진접 태양광발전소,경기도 남양주시 진접읍 금강로유연들1길 154,,,,,정상가동,126,380,60,2019,,2016-07-27,남양주시,,2023-06-02
(주)이암 태양광발전소,,경기도 이천시 대월면 군량리 286-6,,,,가동중단,600,22900,60,2021,발전사업용,2018-09-14,이천시,,2023-06-05
(주)키움하우스,경기도 남양주시 진접읍 내각1로99번길 29,,,,,정상가동,45.9,380,60,2020,,2017-09-19,남양주시,,2023-06-02
(주)파랑태양광발전소,경기도 남양주시 진접읍 내각2로 54,경기도 남양주시 진접읍 내각리 165-75,,,,정상가동,151.88,380,60,2021,,2020-03-17,남양주시,,2023-06-02
(주)효성산업 태양광발전소,경기도 남양주시 진건읍 독정로솔숲길 14-33,경기도 남양주시 진건읍 용정리 231-12,,,,정상가동,99.36,380,60,2022,,2018-03-14,남양주시,,2023-06-02
*** 태양광발전소,,,,,,정상가동,30.6,380,60,2017,발전사업용,2017-01-19,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,2,380,60,2014,발전사업용,2014-08-06,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,499.72,380,60,2016,발전사업용,2016-07-22,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,43.47,380,60,2016,발전사업용,2016-10-27,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,99.23,380,60,2016,발전사업용,2016-12-23,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,50,380,60,2014,발전사업용,2014-12-16,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,99,380,60,2015,발전사업용,2015-02-11,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,99,380,60,2015,발전사업용,2015-02-11,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,55,380,60,2015,발전사업용,2015-05-27,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,30,380,60,2015,발전사업용,2015-07-27,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,50,380,60,2015,발전사업용,2015-08-11,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,45,380,60,2015,발전사업용,2015-09-16,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,42.75,380,60,2014,발전사업용,2014-07-28,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,20,380,60,2013,발전사업용,2013-04-22,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,8,380,60,2013,발전사업용,2013-05-14,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,8,380,60,2013,발전사업용,2013-07-10,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,6.24,380,60,2013,발전사업용,2013-09-09,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,30,380,60,2013,발전사업용,2013-09-09,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,8,380,60,2014,발전사업용,2014-08-28,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,4.04,380,60,2014,발전사업용,2014-09-22,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,30,380,60,2014,발전사업용,2014-05-13,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,26,380,60,2014,발전사업용,2014-05-26,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,5,380,60,2014,발전사업용,2014-06-23,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,63.36,380,60,2017,발전사업용,2017-05-25,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,30,380,60,2012,발전사업용,2012-07-11,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,30,380,60,2012,발전사업용,2012-06-27,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,2,380,60,2012,발전사업용,2012-05-25,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,5,380,60,2012,발전사업용,2012-03-19,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,8,380,60,2012,발전사업용,2012-03-28,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,5,380,60,2012,발전사업용,2012-04-16,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,5,380,60,2012,발전사업용,2012-05-16,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,54,380,60,2012,발전사업용,2012-05-16,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,20,380,60,2012,발전사업용,2012-05-18,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,38,380,60,2012,발전사업용,2012-05-25,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,8,380,60,2012,발전사업용,2012-05-25,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,3.5,380,60,2012,발전사업용,2012-05-25,화성시,,2023-06-12
*******제2태양광발전소,,,,,,정상가동,99.22,380,60,2020,발전사업용,2020-02-24,화성시,,2023-06-12
*****태양광발전소,,,,,,정상가동,199.2,380,60,2020,발전사업용,2020-05-08,화성시,,2023-06-12
****태양광발전소,,,,,,정상가동,400.5,380,60,2020,발전사업용,2020-02-27,화성시,,2023-06-12
***3태양광발전소,,,,,,정상가동,99.9,380,60,2020,발전사업용,2020-05-08,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,99,380,60,2017,발전사업용,2017-07-14,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,63.36,380,60,2017,발전사업용,2017-07-14,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,47.52,380,60,2017,발전사업용,2017-07-28,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,49.5,380,60,2017,발전사업용,2017-06-02,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,39.6,380,60,2017,발전사업용,2017-06-02,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,29.7,380,60,2017,발전사업용,2017-07-14,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,97.02,380,60,2018,발전사업용,2018-10-02,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,81.34,380,60,2020,발전사업용,2020-05-08,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,60.06,380,60,2018,발전사업용,2018-08-30,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,97.92,380,60,2018,발전사업용,2018-08-16,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,48.5,380,60,2019,발전사업용,2019-01-23,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,35.52,380,60,2019,발전사업용,2019-01-31,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,50.7,380,60,2019,발전사업용,2019-02-18,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,56.98,380,60,2019,발전사업용,2019-09-17,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,72.52,380,60,2019,발전사업용,2019-10-15,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,99.9,380,60,2019,발전사업용,2019-08-29,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,98.28,380,60,2019,발전사업용,2019-06-21,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,99.9,380,60,2019,발전사업용,2019-07-26,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,351,380,60,2018,발전사업용,2018-10-30,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,47.6,380,60,2018,발전사업용,2018-07-16,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,8.3,380,60,2018,발전사업용,2018-07-16,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,98.55,380,60,2018,발전사업용,2018-07-24,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,9.98,380,60,2018,발전사업용,2018-07-24,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,298.08,380,60,2018,발전사업용,2018-07-24,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,39.6,380,60,2018,발전사업용,2018-06-05,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,45,380,60,2018,발전사업용,2018-07-02,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,6.28,380,60,2018,발전사업용,2018-05-15,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,28.8,380,60,2018,발전사업용,2018-03-02,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,39.42,380,60,2018,발전사업용,2018-03-19,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,60.3,380,60,2018,발전사업용,2018-02-07,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,29.7,380,60,2017,발전사업용,2017-11-23,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,30.6,380,60,2017,발전사업용,2017-11-24,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,8.24,380,60,2017,발전사업용,2017-11-28,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,99.23,380,60,2017,발전사업용,2017-12-07,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,97.2,380,60,2017,발전사업용,2017-12-12,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,39.78,380,60,2017,발전사업용,2017-12-21,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,6.44,380,60,2018,발전사업용,2018-01-02,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,0.56,380,60,2017,발전사업용,2017-08-04,화성시,,2023-06-12
***태양광발전소,,,,,,정상가동,49.5,380,60,2017,발전사업용,2017-07-14,화성시,,2023-06-12
***태양광발전소1호,,,,,,정상가동,57.6,380,60,2019,발전사업용,2019-10-08,화성시,,2023-06-12
***태양광발전소1호,,,,,,정상가동,6.6,380,60,2019,발전사업용,2019-10-08,화성시,,2023-06-12
***태양광발전소2호,,,,,,정상가동,6.6,380,60,2019,발전사업용,2019-10-08,화성시,,2023-06-12
***태양광발전소2호,,,,,,정상가동,67.2,380,60,2019,발전사업용,2019-10-08,화성시,,2023-06-12
***태양광발전소3호,,,,,,정상가동,6.6,380,60,2019,발전사업용,2019-10-08,화성시,,2023-06-12
***태양광발전소3호,,,,,,정상가동,67.2,380,60,2019,발전사업용,2019-10-08,화성시,,2023-06-12
***태양광발전소4호,,,,,,정상가동,57.6,380,60,2019,발전사업용,2019-10-08,화성시,,2023-06-12
***태양광발전소5호,,,,,,정상가동,6.6,380,60,2019,발전사업용,2019-10-08,화성시,,2023-06-12
**태양광발전소,,,,,,정상가동,29.76,380,60,2022,발전사업용,2022-02-28,화성시,,2023-06-12
**태양광발전소,,,,,,정상가동,29.88,380,60,2020,발전사업용,2020-05-08,화성시,,2023-06-12
**태양광발전소,,,,,,정상가동,98.77,380,60,2020,발전사업용,2020-01-17,화성시,,2023-06-12
**태양광발전소,,,,,,정상가동,98.77,380,60,2020,발전사업용,2020-01-17,화성시,,2023-06-12
**태양광발전소,,,,,,정상가동,98.77,380,60,2020,발전사업용,2020-01-17,화성시,,2023-06-12
**태양광발전소4호,,,,,,정상가동,68.23,380,60,2020,발전사업용,2020-05-25,화성시,,2023-06-12
153 태양광발전소,,경기도 안성시 보개면 적가리 522-1,,,,정상가동,99.84,380,60,2022,사업용,2022-06-28,안성시,,2023-07-06
153발전소,,경기도 안성시 보개면 구사리 65-1,,,,정상가동,18.24,220,60,2021,사업용,2021-02-23,안성시,,2023-07-06
2042 태양광발전소,경기도 이천시 설성면 원설로112번길 96-46,,,,,정상가동,99.84,380,60,2022,발전사업용,2022-03-10,이천시,,2023-06-05
365태양광발전소,,,,,,정상가동,29.1,380,60,2023,발전사업용,2023-01-27,화성시,138.8,2023-06-12
543태양광발전소,경기도 안양시 동안구 경수대로 543 (호계동),경기도 안양시 동안구 호계동 959-6,,,,정상가동,19.98,380,60,2019,,2019-08-14,안양시,,2023-06-21
AK태양광발전소,경기도 남양주시 화도읍 폭포로 207-15,경기도 남양주시 화도읍 창현리 190-52,,,,정상가동,79.56,380,60,2022,,2019-05-13,남양주시,,2023-06-02
AP시스템 태양광발전소,,,,,,정상가동,300,380,60,2013,발전사업용,2013-08-21,화성시,,2023-06-12
BBTS 태양광발전소,,경기도 이천시 대월면 장평리 산30-3,,,,정상가동,999,22900,60,2016,발전사업용,2014-09-29,이천시,,2023-06-05
BDM태양광발전소,,,,,,정상가동,404.25,380,60,2019,발전사업용,2019-01-22,화성시,,2023-06-12
BEP 안성태양광발전소,,경기도 안성시 삼죽면 진촌리 산186-2,,,,정상가동,1499,22900,60,2020,발전사업용,,경기도,,2022-12-31
BK메디텍태양광발전소,,,,,,정상가동,347.48,380,60,2018,발전사업용,2018-09-18,화성시,,2023-06-12
BL태양광발전소호,,,,,,정상가동,99.96,380,60,2018,발전사업용,2018-05-10,화성시,,2023-06-12
CHE태양광발전소,,,,,,정상가동,99.8,380,60,2018,발전사업용,2018-08-17,화성시,,2023-06-12
CKK태양광발전소,,경기도 이천시 장호원읍 풍계리 산58,,,,정상가동,99.28,380,60,2019,발전사업용,2018-03-12,이천시,,2023-06-05
CPS 태양광발전소,,경기도 안성시 보개면 기좌리 89-19,,,,정상가동,82.88,380,60,2019,사업용,2019-12-05,안성시,,2023-07-06
CS태양광발전소,,경기도 이천시 관고동 77-15,,,,정상가동,29.88,380,60,2019,발전사업용,2018-08-14,이천시,,2023-06-05
DDAM 태양광발전소,,,,,,정상가동,98.55,380,60,2018,발전사업용,2018-03-22,화성시,,2023-06-12
DH 태양광발전소,경기도 양평군 강하면 동오3길 18,경기도 양평군 강하면 동오리 156-1,,,기타,정상가동,49.68,380,60,2021,,2021-08-11,양평군,,2023-06-20
DH2태양광발전소,,,,,,정상가동,49.14,380,60,2022,발전사업용,2022-12-28,화성시,216.26,2023-06-12
DH태양광발전소,,,,,,정상가동,98.87,380,60,2022,발전사업용,2022-12-28,화성시,435.09,2023-06-12
DK 태양광발전소,"경기도 양평군 양평읍 중앙로167번길 8, 102동 8층 805호","경기도 양평군 양평읍 중앙로167번길 8, 102동 8층 805호",,,기타,정상가동,99.23,380,60,2017,,2017-02-02,양평군,,2023-06-20
DS태양광발전소,,,,,,정상가동,99,380,60,2023,발전사업용,2023-04-25,화성시,437.8,2023-06-12
EG 태양광발전소,,경기도 이천시 율면 본죽리 156,,,,가동중단,99.28,380,60,2020,발전사업용,2018-11-09,이천시,,2023-06-05
EMC 태양광발전소 2호기,,경기도 이천시 장호원읍 노탑리 693,,,,가동중단,200,380,60,2025,발전사업용,2021-06-21,이천시,,2023-06-05
ENELX_이천1 발전소,경기도 이천시 설성면 경충대로 871,,,,,가동중단,911.43,22900,60,2024,발전사업용,2023-02-22,이천시,,2023-06-05
ENELX_이천1 발전소,경기도 이천시 설성면 경충대로 871,,,,,폐기,911.43,22900,60,2024,발전사업용,2022-10-18,이천시,,2023-06-05
EPS파워 1호 태양광발전소,,경기도 안성시 일죽면 방초리 877-1,,,,가동중단,99.84,380,60,2020,,2020-03-24,안성시,,2023-07-06
EY태양광발전소,,,,,,정상가동,99.9,380,60,2019,발전사업용,2019-11-01,화성시,,2023-06-12
Eternal태양광발전소,,,,,,정상가동,49.4,380,60,2016,발전사업용,2016-08-12,화성시,,2023-06-12
FL1호 태양광발전소,,경기도 이천시 설성면 장천리 702,,,,정상가동,99.6,380,60,2020,발전사업용,2020-04-27,이천시,,2023-06-05
FL2호 태양광발전소,,경기도 이천시 설성면 장천리 702,,,,정상가동,99.6,380,60,2020,발전사업용,2020-04-27,이천시,,2023-06-05
GB제1호태양광발전소,,,,,,정상가동,93.96,380,60,2023,발전사업용,2023-01-19,화성시,423,2023-06-12
GB제2호태양광발전소,,,,,,정상가동,93.96,380,60,2023,발전사업용,2023-01-19,화성시,423,2023-06-12
GB제3호태양광발전소,,,,,,정상가동,93.96,380,60,2023,발전사업용,2023-01-19,화성시,423,2023-06-12
GIO에너지,,경기도 이천시 설성면 상봉리 550-2,,,,정상가동,99.28,380,60,2019,발전사업용,2018-11-16,이천시,,2023-06-05
GNK태양광발전소,,,,,,정상가동,99.12,380,60,2022,발전사업용,2022-10-27,화성시,637,2023-06-12
GOYA태양광발전소,,경기도 이천시 장호원읍 풍계리 산58,,,,정상가동,99.28,380,60,2019,발전사업용,2018-03-12,이천시,,2023-06-05
GS에너지,,경기도 이천시 설성면 상봉리 550-2,,,,정상가동,99.28,380,60,2019,발전사업용,2018-11-16,이천시,,2023-06-05
H&S두리반태양광발전소,,,,,,정상가동,50.7,380,60,2020,발전사업용,2020-06-25,화성시,,2023-06-12
HANS태양광발전소,,,,,,정상가동,142.25,380,60,2023,발전사업용,2023-04-04,화성시,880,2023-06-12
HAPPY태양광발전소,,,,,,정상가동,32.83,380,60,2017,발전사업용,2017-08-17,화성시,,2023-06-12
HB 태양광발전소,,"경기도 안성시 대덕면 소내리 12-7,13",,,,정상가동,93.6,380,60,2021,사업용,2021-09-24,안성시,,2023-07-06
HG 태양광발전소,,경기도 안성시 양성면 방축리 925-3,,,,정상가동,99.65,380,60,2021,사업용,2021-10-18,안성시,,2023-07-06
HJ 2호 태양광발전소,경기도 이천시 백사면 청백리로393번길 271,,,,,정상가동,99.19,380,60,2021,발전사업용,2021-09-23,이천시,,2023-06-05
HJ 태양광발전소,경기도 이천시 백사면 청백리로393번길 261,,,,,정상가동,63.7,380,60,2021,발전사업용,2021-09-23,이천시,,2023-06-05
HK태양광발전소,,,,,,정상가동,42.84,380,60,2023,발전사업용,2023-05-23,화성시,316.7,2023-06-12
HM텍태양광발전소,,,,,,정상가동,85.84,380,60,2023,발전사업용,2023-02-23,화성시,514.6,2023-06-12
HPM 태양광발전소,,"경기도 안성시 일죽면 월정리 1841 1,2동",,,,정상가동,496.64,380,60,2022,사업용,2022-03-17,안성시,,2023-07-06
HW태양광발전소,,,,,,정상가동,33.77,380,60,2019,발전사업용,2019-04-18,화성시,,2023-06-12
INS에너지태양광발전소,,경기도 이천시 설성면 대죽리 산194-1,,,,폐기,98.1,380,60,2021,발전사업용,2018-05-01,이천시,,2023-06-05
JH Solar 태양광발전소,,경기도 이천시 장호원읍 풍계리 산58,,,,정상가동,99.28,380,60,2019,발전사업용,2018-03-12,이천시,,2023-06-05
JH에너지태양광발전소,,경기도 이천시 설성면 대죽리 산194-1,,,,폐기,99.72,380,60,2021,발전사업용,2018-05-01,이천시,,2023-06-05
JH화성태양광발전소1호,,,,,,정상가동,60,380,60,2022,발전사업용,2022-10-11,화성시,270,2023-06-12
JH화성태양광발전소2호,,,,,,정상가동,60,380,60,2022,발전사업용,2022-10-11,화성시,270,2023-06-12
JK 발전소,,"경기도 안성시 삼죽면 미장리 103, 104-2",,,,정상가동,97.92,380,60,2018,사업용,2018-06-01,안성시,,2023-07-06
JK 발전소 1호,,"경기도 안성시 삼죽면 미장리 103, 104-2",,,,정상가동,97.92,380,60,2018,사업용,2018-06-01,안성시,,2023-07-06
JK 발전소 2호,,"경기도 안성시 삼죽면 미장리 103, 104-2",,,,가동중단,97.92,380,60,2018,,2018-06-01,안성시,,2023-07-06
JNW태양광발전소,,,,,,정상가동,76.8,380,60,2021,발전사업용,2021-11-24,화성시,,2023-06-12
JS 태양광발전소,,"경기도 안성시 가사동 5-4, 5-55",,,,가동중단,29.24,380,60,2021,,2021-08-31,안성시,,2023-07-06
JY 태양광발전소,,경기도 안성시 양성면 방축리 925-3,,,,정상가동,99.65,380,60,2021,사업용,2021-10-18,안성시,,2023-07-06
JY 태양광발전소,,경기도 이천시 관고동 186-16,,,,정상가동,29.6,380,60,2019,발전사업용,2019-08-28,이천시,,2023-06-05
JY에너지화성태양광발전소,,,,,,정상가동,60,380,60,2022,발전사업용,2022-10-11,화성시,270,2023-06-12
JY태양광발전소,,,,,,정상가동,29.6,380,60,2020,발전사업용,2020-04-13,화성시,,2023-06-12
JY태양광발전소,,,,,,정상가동,98.28,380,60,2020,발전사업용,2020-08-24,화성시,,2023-06-12
KAN태양광발전소,,,,,,정상가동,29.58,380,60,2021,발전사업용,2021-08-12,화성시,,2023-06-12
KB파워 태양광발전소,,경기도 안성시 일죽면 신흥리 625-2,,,,정상가동,99.96,380,60,2018,사업용,2018-02-07,안성시,,2023-07-06
KDC태양광발전소,,,,,,정상가동,374,380,60,2019,발전사업용,2019-09-27,화성시,,2023-06-12
KEPCO 비지엠 태양광발전소,,,,,,정상가동,726.24,22900,60,2021,발전사업용,2021-07-23,화성시,,2023-06-12
KEPCO-03-F10 유티아이테크 태양광 발전소,,,,,,정상가동,109.2,380,60,2020,발전사업용,2020-12-16,화성시,,2023-06-12
KEPCO-03-F26동주산업태양광발전소,,,,,,정상가동,346.08,380,60,2021,발전사업용,2021-03-11,화성시,,2023-06-12
KEPCO-03-F35-모인로지스 태양광발전소,경기도 이천시 마장면 마도로 109,,,,,정상가동,226.8,380,60,2021,발전사업용,2021-04-06,이천시,,2023-06-05
KEPCO-03-F39유진테코태양광발전소,,,,,,정상가동,182.28,380,60,2021,발전사업용,2021-03-11,화성시,,2023-06-12
KEPCO-03-F40동방비앤에이치1태양광발전소,,,,,,정상가동,217.56,380,60,2021,발전사업용,2021-03-11,화성시,,2023-06-12
KEPCO-03-F41썸백태양광발전소,,,,,,정상가동,119.7,380,60,2021,발전사업용,2021-03-11,화성시,,2023-06-12
KEPCO-03-F48동방비앤에이치2태양광발전소,,,,,,정상가동,82.32,380,60,2021,발전사업용,2021-03-11,화성시,,2023-06-12
