태양광발전시설명,소재지도로명주소,소재지지번주소,정제WGS84위도,정제WGS84경도,설치상세위치구분명,가동상태구분명,설비용량(KW),공급전압(V),주파수(Hz),설치연도,세부용도,허가일자,허가기관,설치면적(㎥),데이터기준일자
우림2 태양광발전소,,"경기도 안성시 일죽면 월정리 1723, 1724, 1725, 1726(제1동, 나동, 건물 위)",,,,가동중단,99.5,380,60,2023,,2023-04-03,안성시,,2023-07-06
우림3 태양광발전소,,"경기도 안성시 일죽면 월정리 1723, 1724(나동, 건물 위)",,,,가동중단,99.5,380,60,2023,,2023-04-03,안성시,,2023-07-06
우미1태양광발전소,경기도 이천시 호법면 송갈로100번길 112,,,,,폐기,99.84,380,60,2020,발전사업용,2019-04-29,이천시,,2023-06-05
우미1호 태양광발전소,,경기도 이천시 호법면 송갈리 711,,,,정상가동,99.45,380,60,2020,발전사업용,2020-02-28,이천시,,2023-06-05
우미2태양광발전소,경기도 이천시 호법면 송갈로100번길 112,,,,,폐기,199,380,60,2020,발전사업용,2019-04-29,이천시,,2023-06-05
우미2호 태양광발전소,,경기도 이천시 호법면 송갈리 711,,,,정상가동,99.45,380,60,2020,발전사업용,2020-02-28,이천시,,2023-06-05
우미3호 태양광발전소,,경기도 이천시 호법면 송갈리 711,,,,정상가동,79.56,380,60,2020,발전사업용,2020-02-28,이천시,,2023-06-05
우석헌태양광발전소,"경기도 남양주시 진접읍 금강로 1095, 자연사박물관",경기도 남양주시 진접읍 내각리 589,,,,정상가동,50.4,380,60,2021,,2018-05-18,남양주시,,2023-06-02
우성2호태양광발전소,,,,,,정상가동,6.43,380,60,2018,발전사업용,2018-06-21,화성시,,2023-06-12
우성썬파워이천 태양광발전소,,경기도 이천시 장호원읍 대서리 991-9,,,,정상가동,99.76,380,60,2021,발전사업용,2020-08-24,이천시,,2023-06-05
우성현대태양광발전소,경기도 군포시 공단로 125,,,,옥외,정상가동,99.28,380,60,2018,발전사업용,2017-11-10,군포시,542.64,2022-11-03
우성호태양광발전소,,,,,,정상가동,74.83,380,60,2018,발전사업용,2018-06-21,화성시,,2023-06-12
우스디자인 발전소,경기도 이천시 신둔면 증신로476번길 77,,,,,정상가동,15.25,380,60,2020,발전사업용,2020-06-08,이천시,,2023-06-05
우승 태양광발전소,,경기도 안성시 죽산면 장계리 674-1,,,,정상가동,99.9,380,60,2019,사업용,2019-11-18,안성시,,2023-07-06
우신 태양광발전소,,경기도 가평군 조종면 신상리 3-2,37.8464521306,127.3590983808,,정상가동,99.91,380,60,2022,발전사업용,2022-06-13,가평군,665.5,2023-04-04
우신태양광발전소,,,,,,정상가동,99.76,380,60,2021,발전사업용,2021-12-20,화성시,,2023-06-12
우인 태양광발전소,경기도 양평군 지평면 금의길180번길 40,경기도 양평군 지평면 월산리 334-1,,,기타,정상가동,99,380,60,2021,,2020-09-01,양평군,,2023-06-20
우일 태양광발전소,,,,,,정상가동,7.25,380,60,2014,발전사업용,2014-04-15,화성시,,2023-06-12
우전 태양광발전소,경기도 가평군 가평읍 용추로171번길 34-15,경기도 가평군 가평읍 승안리 250-2,37.8435420765,127.4857246327,,정상가동,99.84,380,60,2022,발전사업용,2022-04-18,가평군,481,2023-04-04
우전2호 태양광발전소,,경기도 가평군 가평읍 승안리 250-2,37.8436502036,127.4854745647,,정상가동,49.92,380,60,2022,발전사업용,2022-04-18,가평군,240,2023-04-04
우정 태양광발전소,,,,,,정상가동,99,380,60,2015,발전사업용,2015-03-14,화성시,,2023-06-12
우정10호태양광발전소,,,,,,정상가동,99.88,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정11호태양광발전소,,,,,,정상가동,99.88,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정12호태양광발전소,,,,,,정상가동,99.88,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정13호태양광발전소,,,,,,정상가동,99.88,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정14호태양광발전소,,,,,,정상가동,99.88,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정1호태양광발전소,,,,,,정상가동,85,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정2호태양광발전소,,,,,,정상가동,85,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정3호태양광발전소,,,,,,정상가동,85,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정4호태양광발전소,,,,,,정상가동,85,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정5호태양광발전소,,,,,,정상가동,85,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정6호태양광발전소,,,,,,정상가동,85,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정7호태양광발전소,,,,,,정상가동,99.88,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정8호태양광발전소,,,,,,정상가동,479.83,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정9호태양광발전소,,,,,,정상가동,389.73,380,60,2020,발전사업용,2020-11-05,화성시,,2023-06-12
우정발전,,,,,,정상가동,496.8,380,60,2018,발전사업용,2018-05-15,화성시,,2023-06-12
우정발전소,,,,,,정상가동,99.96,380,60,2023,발전사업용,2023-05-19,화성시,470,2023-06-12
우정에너지 태양광발전소,,경기도 안성시 일죽면 신흥리 781,,,,정상가동,99.96,380,60,2018,사업용,2018-02-07,안성시,,2023-07-06
우정화산태양광발전소,,,,,,정상가동,98.28,380,60,2021,발전사업용,2021-08-09,화성시,,2023-06-12
우정화산태양광발전소(B동),,,,,,정상가동,96,380,60,2022,발전사업용,2022-08-24,화성시,443.2,2023-06-12
우정화산태양광발전소(F동),,,,,,정상가동,49.92,380,60,2022,발전사업용,2022-08-24,화성시,230.46,2023-06-12
우정화산태양광발전소(H동),,,,,,정상가동,49.92,380,60,2022,발전사업용,2022-08-24,화성시,230.46,2023-06-12
우종문 태양광발전소,경기도 양평군 청운면 다대리 162-2,경기도 양평군 청운면 다대리 162-2,,,기타,정상가동,99.4,380,60,2018,,2018-02-19,양평군,,2023-06-20
우주 태양광발전소,,경기도 이천시 율면 월포리 1281,,,,가동중단,199.8,380,60,2021,발전사업용,2019-08-28,이천시,,2023-06-05
우주1호 태양광발전소,,"경기도 안성시 양성면 방축리 616-3, 617, 617-1, 617-4, 618 가동",,,,정상가동,99.36,380,60,2022,사업용,2022-03-10,안성시,,2023-07-06
우주2호 태양광발전소,,"경기도 안성시 양성면 방축리 616-3, 617, 617-1, 617-4, 618 가,나동",,,,정상가동,99.36,380,60,2022,사업용,2022-03-10,안성시,,2023-07-06
